,Institute,Sci_topic,Author,Year,Conf_level,Material,M_Type,MatGroupFKM,Batch,Manufacturer,Prod_Proc,Furn_capa,Deoxid_proc,Ingot_size,Red_ratio,HProc,Form,DorTh,Length,C,Si,Mn,P,S,Ni,Cr,Mo,Cu,Al,V,Nb,N_,Ti,Ca,O,dA,dB,dC,dD,DS,Exp_n,Exp_b,DefType,Proc_name,Microstruct,Tstart,Tend,Vcf,NTemp,Ntime,CTemp,Ctime,THTemp,THtime,THQCr,QmTemp,THTemp2,THtime2,THQCr2,QmTemp2,TTemp,Ttime,TCr,Gm,Gstd,Texture,GrainRatio,Poros,Geometry_type,CS_form,CS_surface,QS_LD,Re_U,Re_U_dev,Rp02,Rp02_dev,Rm,Rm_dev,R_true_fracture,Rtf_dev,AG,AG_dev,A5,A5_dev,Z,Z_dev,A_KerbSchlag,A_KS_dev,HV20,HV20_dev,HardProc,t_eff,t_eff_dev,HV20_core,HV20_core_dev,Rp02_base,Rm_base,AG_base,A5_base,Z_base,Deff,Kt,G0,G0_r,G0_d,A90_Mises,V90_Mises,Kp,Rz,Finish,Finish_speci,SpecF,LD,Prstrain,RS_depth,RS_I,RSII,Sa,N,outcome,fail_loc,defect_type,R_ratio,Nu,Control,Machine,f_test,L_Type,Sd,Sd_unc,k,k_unc,NE,NE_unc,1Ts,1Ts_unc,method,n_spec,n_lvls_frac,n_lvls_inf,Nu_cur,Sa_min,Nm_Sa_min
NIMS468,,,,,,,C-st_struct,Steel,,,,,,,825.0,Hot rolled,,,,0.44,0.24,0.82,0.021,0.021,0.03,0.02,0.0,0.02,,,,,,,,0.1,0.03,0.01,,,,,,,,,,,845.0,,30.0,0.0,845.0,30.0,450.0,30.0,,,,,600.0,60.0,450.0,8.8,,,,,A5-standard specimen,Cylindric,50.25,0,,,548.0,,773.0,,1530.0,,,,23.0,,67.0,,184.0,,236.5,,,0.0,,,,,,,,,4,3.0,8.23,7.98,0.25,,0.0971051,12.3,1.5,,,cylinder,0,0,,,,"[320.0, 320.0, 290.0, 290.0, 260.0, 260.0, 240.0, 240.0, 220.0, 220.0, 200.0, 200.0, 190.0, 190.0, 185.0, 185.0, 185.0, 180.0, 180.0, 180.0, 175.0, 175.0, 175.0]","[102000, 109000, 188000, 225000, 379000, 444000, 442000, 616000, 875000, 1510000, 1360000, 2410000, 4730000, 4870000, 2110000, 2720000, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000, 100000000]","['failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'runout', 'runout', 'runout', 'runout', 'runout', 'runout', 'runout']","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]",-1.0,100000000.0,Force,,125.0,1.0,185.05,3.566,6.374,0.999,3381659.0,1438081.0,1.115,0.029,4 params,23.0,8.0,3.0,10000000.0,185.0,2395663
NIMS469,,,,,,,Stainless,Stainless_Steel,,,,,,,7.0,Hot rolled,,,,0.05,0.54,0.88,0.029,0.01,9.1,18.53,0.12,0.06,,,,,,,,0.025,0.008,0.017,,,,,,,,,,,30.0,,30.0,0.0,1100.0,30.0,450.0,30.0,,,,,30.0,0.0,0.0,6.0,,,,,A5-standard specimen,Cylindric,50.25,0,,,242.0,,666.0,,2407.0,,,,68.0,,82.0,,,,150.0,,,0.0,,,,,,,,,4,1.0,0.25,0.0,0.25,,77.93611,3.5,1.5,,,cylinder,0,0,,,,"[240.0, 240.0, 235.0, 235.0, 235.0, 230.0, 230.0, 230.0, 225.0, 225.0, 225.0]","[48000, 81000, 63000, 80000, 123000, 424000, 100000000, 100000000, 100000000, 100000000, 100000000]","['failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'runout', 'runout', 'runout', 'runout', 'runout']","[None, None, None, None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None, None, None, None]",-1.0,100000000.0,Force,,125.0,1.0,230.75,,41.23,,245573.0,,1.024,,4 params,11.0,3.0,2.0,10000000.0,230.0,424000
NIMS47,,,,,,,C-st_struct,Steel,,,,,,,610.0,Hot rolled,,,,0.32,0.21,0.63,0.006999999999999999,0.017,0.06,0.1,0.0,0.08,,,,,,,,0.06,0.05,0.03,,,,,,,,,,,865.0,,30.0,0.0,865.0,30.0,450.0,30.0,,,,,650.0,60.0,450.0,,,,,,A5-standard specimen,Cylindric,50.25,0,456.0,,454.0,,616.0,,1370.0,,,,28.0,,72.0,,230.0,,195.0,,,0.0,,,,,,,,,4,1.0,0.25,0.0,0.25,,73.83259,3.6,1.5,,,cylinder,0,0,,,,"[390.0, 390.0, 370.0, 370.0, 360.0, 360.0, 350.0, 350.0, 340.0, 340.0, 330.0, 330.0, 330.0, 320.0, 320.0, 320.0, 310.0, 310.0, 310.0]","[91300, 104000, 268000, 344000, 483000, 502000, 518000, 549000, 665000, 1290000, 1000000, 1880000, 21200000, 1940000, 21200000, 21200000, 21200000, 21200000, 21200000]","['failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'runout', 'failure', 'runout', 'runout', 'runout', 'runout', 'runout']","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]",-1.0,21200000.0,Force,,50.0,1.0,324.97,8.786,14.65,2.949,1753021.0,1110459.0,1.045,0.034,4 params,19.0,7.0,3.0,10000000.0,320.0,1940000
NIMS470,,,,,,,Stainless,Stainless_Steel,,,,,,,7.0,Hot rolled,,,,0.05,0.54,0.88,0.029,0.01,9.1,18.53,0.12,0.06,,,,,,,,0.025,0.008,0.017,,,,,,,,,,,30.0,,30.0,0.0,1100.0,30.0,450.0,30.0,,,,,30.0,0.0,0.0,6.0,,,,,A5-standard specimen,Cylindric,50.25,0,,,242.0,,666.0,,2407.0,,,,68.0,,82.0,,,,150.0,,,0.0,,,,,,,,,4,2.0,3.27,3.02,0.25,,0.202079428,9.17,1.5,,,cylinder,0,0,,,,"[260.0, 260.0, 250.0, 250.0, 240.0, 240.0, 230.0, 230.0, 220.0, 220.0, 215.0, 215.0, 215.0, 210.0, 210.0, 210.0, 205.0, 205.0, 205.0, 200.0, 200.0, 200.0, 195.0, 195.0, 195.0, 190.0, 190.0, 190.0]","[112000, 115000, 132000, 157000, 201000, 275000, 497000, 525000, 2227000, 427000, 336000, 482000, 100000000, 100000000, 100000000, 100000000, 614000, 702000, 100000000, 534000, 946000, 100000000, 616000, 100000000, 100000000, 100000000, 100000000, 100000000]","['failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'runout', 'runout', 'runout', 'runout', 'failure', 'failure', 'runout', 'failure', 'failure', 'runout', 'failure', 'runout', 'runout', 'runout', 'runout', 'runout']","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]",-1.0,100000000.0,Force,,125.0,1.0,205.79,3.08,6.722,2.254,688838.0,302009.0,1.203,0.04,4 params,28.0,9.0,6.0,10000000.0,195.0,616000
NIMS471,,,,,,,Stainless,Stainless_Steel,,,,,,,7.0,Hot rolled,,,,0.05,0.54,0.88,0.029,0.01,9.1,18.53,0.12,0.06,,,,,,,,0.025,0.008,0.017,,,,,,,,,,,30.0,,30.0,0.0,1100.0,30.0,450.0,30.0,,,,,30.0,0.0,0.0,6.0,,,,,A5-standard specimen,Cylindric,50.25,0,,,242.0,,666.0,,2407.0,,,,68.0,,82.0,,,,150.0,,,0.0,,,,,,,,,4,3.0,8.23,7.98,0.25,,0.0971051,12.3,1.5,,,cylinder,0,0,,,,"[220.0, 220.0, 200.0, 200.0, 180.0, 180.0, 170.0, 170.0, 165.0, 165.0, 160.0, 160.0, 160.0, 155.0, 155.0, 155.0, 150.0, 150.0, 150.0, 145.0, 145.0, 145.0]","[66000, 88000, 154000, 324000, 331000, 789000, 365000, 1590000, 2680000, 2970000, 1570000, 100000000, 100000000, 1630000, 3090000, 100000000, 1120000, 100000000, 100000000, 1250000, 100000000, 100000000]","['failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'runout', 'runout', 'failure', 'failure', 'runout', 'failure', 'runout', 'runout', 'failure', 'runout', 'runout']","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]",-1.0,100000000.0,Force,,125.0,1.0,153.46,2.843,8.251,1.206,1965298.0,847695.0,1.209,0.038,4 params,22.0,9.0,4.0,10000000.0,145.0,1250000
NIMS472,,,,,,,C-st_vessel,Steel,,,,,,,49.5,Hot rolled,,,,0.2,0.25,0.83,0.014,0.004,0.02,0.02,0.002,0.01,,,,,,,,0.03,0.0,0.0,,,,,,,,,,,30.0,,30.0,0.0,30.0,0.0,0.0,30.0,,,,,625.0,48.0,0.054000000000000006,9.0,,,,,A5-standard specimen,Cylindric,50.25,0,,,328.0,,503.0,,1017.0,,,,32.0,,64.0,,,,146.0,,,0.0,,,,,,,,,8,1.0,0.25,0.0,0.25,,77.93611,3.5,1.5,,,cylinder,0,0,,,,"[300.0, 300.0, 290.0, 290.0, 280.0, 280.0, 270.0, 270.0, 270.0, 260.0, 260.0]","[183000, 270000, 223000, 455000, 739000, 1660000, 1960000, 4170000, 100000000, 100000000, 100000000]","['failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'runout', 'runout', 'runout']","[None, None, None, None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None, None, None, None]",-1.0,100000000.0,Force,,100.0,1.0,268.41,10.256,25.541,5.72,3120035.0,3291385.0,1.039,0.044,4 params,11.0,4.0,2.0,10000000.0,270.0,2858881
NIMS473,,,,,,,C-st_vessel,Steel,,,,,,,49.5,Hot rolled,,,,0.2,0.25,0.83,0.014,0.004,0.02,0.02,0.002,0.01,,,,,,,,0.03,0.0,0.0,,,,,,,,,,,30.0,,30.0,0.0,30.0,0.0,0.0,30.0,,,,,625.0,48.0,0.054000000000000006,9.0,,,,,A5-standard specimen,Cylindric,50.25,0,,,328.0,,503.0,,1017.0,,,,32.0,,64.0,,,,146.0,,,0.0,,,,,,,,,8,1.0,0.25,0.0,0.25,,77.93611,3.5,1.5,,,cylinder,0,0,,,,"[300.0, 300.0, 290.0, 290.0, 280.0, 280.0, 270.0, 270.0, 270.0]","[262000, 338000, 515000, 693000, 2070000, 2110000, 2120000, 100000000, 100000000]","['failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'runout', 'runout']","[None, None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None, None]",-1.0,100000000.0,Force,,10.0,1.0,271.4,11.717,22.11,6.206,2877216.0,2617225.0,1.033,0.056,4 params,9.0,4.0,1.0,10000000.0,270.0,2120000
NIMS474,,,,,,,Stainless,Stainless_Steel,,,,,,,940.0,Hot rolled,,,,0.07,0.46,0.6,0.026,0.005,0.28,16.75,0.03,0.01,,,,,,,,0.03,0.01,0.03,,,,,,,,,,,30.0,,30.0,0.0,30.0,0.0,0.0,30.0,,,,,815.0,30.0,5.0,9.4,,,,,A5-standard specimen,Cylindric,50.25,0,311.0,,303.0,,489.0,,1092.0,,,,39.0,,74.0,,,,176.0,,,0.0,,,,,,,,,8,1.0,0.25,0.0,0.25,,73.83259,3.6,1.5,,,cylinder,0,0,,,,"[370.0, 370.0, 350.0, 350.0, 340.0, 340.0, 330.0, 330.0, 320.0, 320.0, 320.0, 320.0, 310.0, 310.0, 310.0, 300.0]","[295000, 397000, 840000, 943000, 689000, 1300000, 1610000, 2660000, 1510000, 2440000, 2650000, 2920000, 2940000, 21200000, 21200000, 21200000]","['failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'runout', 'runout', 'runout']","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]",-1.0,21200000.0,Force,,50.0,1.0,310.89,8.274,12.776,2.92,3456678.0,2677442.0,1.052,0.041,4 params,16.0,6.0,2.0,10000000.0,,
NIMS475,,,,,,,Stainless,Stainless_Steel,,,,,,,590.0,Hot rolled,,,,0.1,0.37,0.43,0.025,0.004,0.31,16.23,0.04,0.01,,,,,,,,0.0,0.0,0.02,,,,,,,,,,,30.0,,30.0,0.0,30.0,0.0,0.0,30.0,,,,,815.0,30.0,5.0,8.0,,,,,A5-standard specimen,Cylindric,50.25,0,271.0,,265.0,,478.0,,1267.0,,,,42.0,,80.0,,,,158.0,,,0.0,,,,,,,,,8,1.0,0.25,0.0,0.25,,73.83259,3.6,1.5,,,cylinder,0,0,,,,"[340.0, 340.0, 320.0, 320.0, 310.0, 310.0, 300.0, 300.0, 290.0, 290.0, 290.0, 285.0, 285.0, 285.0, 280.0, 280.0]","[459000, 541000, 815000, 994000, 1280000, 1650000, 2770000, 3040000, 1820000, 4490000, 4910000, 6390000, 11900000, 21200000, 21200000, 21200000]","['failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'runout', 'runout', 'runout']","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]",-1.0,21200000.0,Force,,50.0,1.0,285.61,6.67,13.669,2.962,4820636.0,2953703.0,1.05,0.04,4 params,16.0,6.0,2.0,10000000.0,,
NIMS476,,,,,,,Stainless,Stainless_Steel,,,,,,,650.0,Hot rolled,,,,0.08,0.28,0.64,0.03,0.015,0.33,16.3,0.09,0.01,,,,,,,,0.09,0.02,0.0,,,,,,,,,,,30.0,,30.0,0.0,30.0,0.0,0.0,30.0,,,,,815.0,30.0,5.0,9.5,,,,,A5-standard specimen,Cylindric,50.25,0,301.0,,298.0,,493.0,,1122.0,,,,38.0,,73.0,,,,178.0,,,0.0,,,,,,,,,8,1.0,0.25,0.0,0.25,,73.83259,3.6,1.5,,,cylinder,0,0,,,,"[360.0, 360.0, 350.0, 350.0, 340.0, 340.0, 330.0, 330.0, 320.0, 320.0, 310.0, 310.0, 310.0, 300.0, 300.0, 300.0]","[378000, 430000, 338000, 1170000, 557000, 634000, 1500000, 2900000, 1710000, 1760000, 2180000, 3630000, 4210000, 21200000, 21200000, 21200000]","['failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'runout', 'runout', 'runout']","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]",-1.0,21200000.0,Force,,50.0,1.0,304.61,7.756,14.539,3.51,4283408.0,2995563.0,1.067,0.048,4 params,16.0,6.0,1.0,10000000.0,,
NIMS477,,,,,,,Stainless,Stainless_Steel,,,,,,,650.0,Hot rolled,,,,0.09,0.29,0.69,0.03,0.014,0.36,16.35,0.08,0.01,,,,,,,,0.05,0.0,0.0,,,,,,,,,,,30.0,,30.0,0.0,30.0,0.0,0.0,30.0,,,,,815.0,30.0,5.0,9.0,,,,,A5-standard specimen,Cylindric,50.25,0,327.0,,316.0,,519.0,,1236.0,,,,38.0,,75.0,,,,180.0,,,0.0,,,,,,,,,8,1.0,0.25,0.0,0.25,,73.83259,3.6,1.5,,,cylinder,0,0,,,,"[360.0, 360.0, 350.0, 350.0, 340.0, 340.0, 330.0, 330.0, 330.0, 320.0, 320.0, 310.0, 310.0, 300.0]","[273000, 397000, 499000, 636000, 937000, 3750000, 1760000, 2000000, 3710000, 3180000, 21200000, 7430000, 21200000, 21200000]","['failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'runout', 'failure', 'runout', 'runout']","[None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None]",-1.0,21200000.0,Force,,50.0,1.0,314.74,9.361,20.294,4.669,5848671.0,4366734.0,1.057,0.042,4 params,14.0,6.0,3.0,10000000.0,,
NIMS478,,,,,,,Stainless,Stainless_Steel,,,,,,,800.0,Hot rolled,,,,0.1,0.37,0.4,0.027000000000000003,0.003,0.32,16.38,0.01,0.01,,,,,,,,0.0,0.0,0.01,,,,,,,,,,,30.0,,30.0,0.0,30.0,0.0,0.0,30.0,,,,,815.0,30.0,5.0,8.0,,,,,A5-standard specimen,Cylindric,50.25,0,271.0,,268.0,,469.0,,1312.0,,,,44.0,,81.0,,,,155.0,,,0.0,,,,,,,,,8,1.0,0.25,0.0,0.25,,73.83259,3.6,1.5,,,cylinder,0,0,,,,"[350.0, 350.0, 330.0, 330.0, 310.0, 310.0, 300.0, 300.0, 290.0, 290.0, 290.0, 285.0, 285.0, 285.0, 280.0, 280.0]","[148000, 225000, 625000, 632000, 2330000, 2580000, 1750000, 3770000, 6090000, 10200000, 17500000, 2820000, 4800000, 21200000, 21200000, 21200000]","['failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'runout', 'runout', 'runout']","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]",-1.0,21200000.0,Force,,50.0,1.0,287.96,6.767,15.522,2.666,4863819.0,2518174.0,1.065,0.035,4 params,16.0,6.0,3.0,10000000.0,,
NIMS479,,,,,,,Stainless,Stainless_Steel,,,,,,,700.0,Hot rolled,,,,0.06,0.44,0.6,0.023,0.006999999999999999,0.21,17.55,0.03,0.01,,,,,,,,0.04,0.02,0.03,,,,,,,,,,,30.0,,30.0,0.0,30.0,0.0,0.0,30.0,,,,,815.0,30.0,5.0,8.4,,,,,A5-standard specimen,Cylindric,50.25,0,327.0,,320.0,,499.0,,1179.0,,,,38.0,,75.0,,,,172.0,,,0.0,,,,,,,,,8,1.0,0.25,0.0,0.25,,73.83259,3.6,1.5,,,cylinder,0,0,,,,"[360.0, 360.0, 340.0, 340.0, 330.0, 330.0, 320.0, 320.0, 320.0, 310.0, 310.0, 310.0, 300.0, 300.0, 300.0, 290.0]","[349000, 495000, 879000, 977000, 1430000, 2330000, 1420000, 1490000, 2430000, 2620000, 6860000, 21200000, 8660000, 8680000, 21200000, 21200000]","['failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'runout', 'failure', 'failure', 'runout', 'runout']","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]",-1.0,21200000.0,Force,,50.0,1.0,301.75,8.485,15.627,2.977,6144660.0,4361641.0,1.059,0.033,4 params,16.0,6.0,3.0,10000000.0,,
NIMS48,,,,,,,C-st_struct,Steel,,,,,,,1740.0,Hot rolled,,,,0.45,0.25,0.79,0.018000000000000002,0.016,0.02,0.13,0.0,0.02,,,,,,,,0.07,0.0,0.0,,,,,,,,,,,845.0,,30.0,0.0,845.0,30.0,450.0,30.0,,,,,550.0,60.0,450.0,8.8,,,,,A5-standard specimen,Cylindric,50.25,0,824.0,,822.0,,923.0,,1617.0,,,,20.0,,61.0,,126.0,,297.0,,,0.0,,,,,,,,,4,1.0,0.25,0.0,0.25,,73.83259,3.6,1.5,,,cylinder,0,0,,,,"[600.0, 590.0, 590.0, 570.0, 570.0, 550.0, 550.0, 540.0, 540.0, 540.0, 530.0, 530.0, 520.0, 520.0, 520.0, 510.0, 510.0, 510.0, 500.0, 500.0, 500.0]","[98700, 103000, 123000, 125000, 151000, 185000, 232000, 313000, 371000, 499000, 423000, 460000, 664000, 710000, 21200000, 522000, 792000, 15800000, 17200000, 21200000, 21200000]","['failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'runout', 'failure', 'failure', 'failure', 'failure', 'runout', 'runout']","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]",-1.0,21200000.0,Force,,50.0,1.0,511.98,11.891,13.282,2.538,689786.0,398909.0,1.041,0.032,4 params,21.0,8.0,3.0,10000000.0,510.0,642981
NIMS480,,,,,,,Stainless,Stainless_Steel,,,,,,,800.0,Hot rolled,,,,0.1,0.32,0.4,0.023,0.008,0.22,16.2,0.01,0.01,,,,,,,,0.0,0.0,0.03,,,,,,,,,,,30.0,,30.0,0.0,30.0,0.0,0.0,30.0,,,,,815.0,30.0,5.0,10.1,,,,,A5-standard specimen,Cylindric,50.25,0,297.0,,293.0,,471.0,,1125.0,,,,41.0,,72.0,,,,170.0,,,0.0,,,,,,,,,8,1.0,0.25,0.0,0.25,,73.83259,3.6,1.5,,,cylinder,0,0,,,,"[310.0, 310.0, 300.0, 300.0, 300.0, 290.0, 290.0, 290.0, 280.0, 280.0, 280.0, 270.0, 270.0, 270.0]","[396000, 440000, 770000, 726000, 1080000, 2080000, 2210000, 4270000, 5990000, 12400000, 21200000, 21200000, 21200000, 21200000]","['failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'runout', 'runout', 'runout', 'runout']","[None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None]",-1.0,21200000.0,Force,,50.0,1.0,281.04,16.747,27.639,9.299,5820430.0,4976561.0,1.022,0.051,4 params,14.0,4.0,2.0,10000000.0,,
NIMS481,,,,,,,Stainless,Stainless_Steel,,,,,,,940.0,Hot rolled,,,,0.07,0.58,0.64,0.025,0.003,0.16,16.4,0.03,0.01,,,,,,,,0.02,0.0,0.05,,,,,,,,,,,30.0,,30.0,0.0,30.0,0.0,0.0,30.0,,,,,815.0,30.0,5.0,8.8,,,,,A5-standard specimen,Cylindric,50.25,0,316.0,,312.0,,500.0,,1226.0,,,,40.0,,76.0,,,,167.0,,,0.0,,,,,,,,,8,1.0,0.25,0.0,0.25,,73.83259,3.6,1.5,,,cylinder,0,0,,,,"[360.0, 360.0, 350.0, 350.0, 340.0, 340.0, 330.0, 330.0, 320.0, 320.0, 320.0, 320.0, 310.0, 310.0, 310.0, 300.0]","[421000, 448000, 959000, 1410000, 1230000, 1750000, 1290000, 2270000, 2590000, 2780000, 7060000, 10500000, 7380000, 21200000, 21200000, 21200000]","['failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'runout', 'runout', 'runout']","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]",-1.0,21200000.0,Force,,50.0,1.0,314.25,8.384,16.523,3.361,5014668.0,3206261.0,1.055,0.038,4 params,16.0,6.0,3.0,10000000.0,,
NIMS482,,,,,,,Stainless,Stainless_Steel,,,,,,,650.0,Hot rolled,,,,0.07,0.28,0.65,0.028,0.013,0.36,16.2,0.08,0.01,,,,,,,,0.09,0.01,0.0,,,,,,,,,,,30.0,,30.0,0.0,30.0,0.0,0.0,30.0,,,,,815.0,30.0,5.0,9.0,,,,,A5-standard specimen,Cylindric,50.25,0,341.0,,336.0,,527.0,,1317.0,,,,37.0,,76.0,,,,173.0,,,0.0,,,,,,,,,8,1.0,0.25,0.0,0.25,,73.83259,3.6,1.5,,,cylinder,0,0,,,,"[360.0, 360.0, 350.0, 350.0, 340.0, 340.0, 330.0, 330.0, 330.0, 320.0, 320.0, 310.0, 310.0, 300.0]","[406000, 484000, 496000, 791000, 992000, 1470000, 1460000, 1650000, 2070000, 4260000, 21200000, 5870000, 21200000, 21200000]","['failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'runout', 'failure', 'runout', 'runout']","[None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None]",-1.0,21200000.0,Force,,50.0,1.0,314.96,10.454,17.305,4.613,4278354.0,3078384.0,1.035,0.043,4 params,14.0,6.0,3.0,10000000.0,,
NIMS483,,,,,,,Stainless,Stainless_Steel,,,,,,,590.0,Hot rolled,,,,0.14,0.31,0.38,0.028,0.017,0.16,11.94,0.03,0.01,,,,,,,,0.02,0.01,0.02,,,,,,,,,,,30.0,,30.0,0.0,975.0,30.0,200.0,30.0,,,,,700.0,120.0,450.0,8.0,,,,,A5-standard specimen,Cylindric,50.25,0,,,582.0,,719.0,,1363.0,,,,23.0,,70.0,,239.0,,241.0,,,0.0,,,,,,,,,4,1.0,0.25,0.0,0.25,,73.83259,3.6,1.5,,,cylinder,0,0,,,,"[500.0, 500.0, 480.0, 480.0, 460.0, 460.0, 440.0, 440.0, 430.0, 420.0, 420.0, 420.0, 410.0, 410.0]","[143000, 190000, 245000, 393000, 420000, 453000, 475000, 890000, 1680000, 2270000, 10100000, 21200000, 21200000, 21200000]","['failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'runout', 'runout', 'runout']","[None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None]",-1.0,21200000.0,Force,,50.0,1.0,422.71,10.336,13.801,3.578,1584396.0,1160809.0,1.052,0.045,4 params,14.0,6.0,2.0,10000000.0,,
NIMS484,,,,,,,Stainless,Stainless_Steel,,,,,,,860.0,Hot rolled,,,,0.14,0.31,0.66,0.025,0.008,0.16,11.79,0.15,0.01,,,,,,,,0.0,0.0,0.01,,,,,,,,,,,30.0,,30.0,0.0,975.0,30.0,200.0,30.0,,,,,700.0,120.0,450.0,7.5,,,,,A5-standard specimen,Cylindric,50.25,0,,,572.0,,709.0,,1465.0,,,,24.0,,73.0,,222.0,,234.0,,,0.0,,,,,,,,,4,1.0,0.25,0.0,0.25,,73.83259,3.6,1.5,,,cylinder,0,0,,,,"[480.0, 480.0, 460.0, 460.0, 440.0, 440.0, 420.0, 420.0, 410.0, 410.0, 410.0, 400.0, 400.0, 400.0]","[164000, 176000, 314000, 389000, 722000, 921000, 811000, 1310000, 2380000, 3050000, 21200000, 21200000, 21200000, 21200000]","['failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'failure', 'runout', 'runout', 'runout', 'runout']","[None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None]",-1.0,21200000.0,Force,,50.0,1.0,408.49,11.758,16.107,3.289,2319971.0,1569366.0,1.038,0.041,4 params,14.0,5.0,2.0,10000000.0,,
